Group,Genus,Species,Taxonomic Note,Order,Family,System,Series,Stage,Regional Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Heterostracans,Canadapteraspis,alocostomata,,,,,,Lockhovian,Lower Dittonian,,Delorme,transition between Delorme and Road River,Northwest Territories,427,423,Dineley & Loeffler 1976 - GSC 69014 transistion between Delorme and Road River Fm detailed locality info in D&L suggests brackish lagoon similar to GSC 69017  - BA 3 according to Boucot & Janis 1983
Heterostracans,Canadapteraspis,thymostomata,,,,,,Lockhovian,Lower Dittonian,,Delorme,,Northwest Territories,427,423,"Dineley & Loeffler 1976 - GSC 81053 - environment same as GSC 69017 - which is Delorme Fm according to Boucot & Janis 1983 - coded as 3 for BA, but locality list suggests brackish so possibly shallower"
Heterostracans,Canadapteraspis,helostomata,,,,,,Lockhovian,Lower Dittonian,,Delorme,,Northwest Territories,427,423,"Dineley & Loeffler 1976 - GSC 81053 - environment same as GSC 69017 - which is Delorme Fm according to Boucot & Janis 1983 - coded as 3 for BA, but locality list suggests brackish so possibly shallower"
Heterostracans,Capitaspis,giblingi,,Heterostraci,Cyathaspididae,Silurian,,Pridoli (early),,,Somerset Island Fm,Upper Member,"Somerset Island, Canada",423,421,Elliott and Dineley 1991; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'; Boucot & Janis 1983 give BA 3
Heterostracans,Cosmaspis,transversa,,,,,,Emsian,,,Beartooth Butte,,Wyoming,407,393,Novitskaya 2007; Denison 1970; Fiorillo 2000 for environment
Heterostracans,Cosmaspis,sp.,,,,,,Pragian (Upper),,,Water Canyon,,Utah,410,409,Novitskaya 2007; Denison 1970; Reed 1997 (unpublishes thesis)
Heterostracans,Ctenaspis,kiaeri,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Tyver Formation,Ivanie Member,"Podolia, Ukraine",414,412,littoral according to Voichyshyn 2011
Heterostracans,Ctenaspis,cancellata,,,,Devonian,,Lockhovian,,,Ben Nevis Formation,,Spitzbergen,413,410,Denison 1964
Heterostracans,Ctenaspis,dentata,,,,Devonian,,Lockhovian,,,Ben Nevis Formation,,Spitzbergen,413,410,Demson 1964
Heterostracans,Cyathaspis,banksi,,Heterostraci,Cyathaspididae,Silurian,,Ludfordian,,,Whitcliffe beds,,Shropshire,425,423,Denison 1964; Boucot & Janis 1983 for BA
