"","Agulhas","Amsterdam-St_Paul","Andaman","Arctic","Bay_of_Bengal","Benguela","Black_Sea","Central_Indian_Ocean_Islands","Central_Polynesia","Cold_Temperate_Northeast_Pacific","Cold_Temperate_Northwest_Atlantic","Cold_Temperate_Northwest_Pacific","Continental_High_Antarctic","East_Central_Australian_Shelf","Easter_Island","Eastern_Coral_Triangle","Galapagos","Gulf_of_Guinea","Hawaii","Java_Transitional","Juan_Fernandez_and_Desventuradas","Lord_Howe_and_Norfolk_Islands","Lusitanian","Magellanic","Marquesas","Marshall__Gilbert_and_Ellis_Islands","Mediterranean_Sea","North_Brazil_Shelf","Northeast_Australian_Shelf","Northern_European_Seas","Northern_New_Zealand","Northwest_Australian_Shelf","Red_Sea_and_Gulf_of_Aden","Sahul_Shelf","Scotia_Sea","Somali_Arabian","South_China_Sea","South_Kuroshio","Southeast_Australian_Shelf","Southeast_Polynesia","Southern_New_Zealand","Southwest_Australian_Shelf","St__Helena_and_Ascension_Islands","Subantarctic_Islands","Subantarctic_New_Zealand","Sunda_Shelf","Tristan_Gough","Tropical_East_Pacific","Tropical_Northwestern_Atlantic","Tropical_Northwestern_Pacific","Tropical_Southwestern_Atlantic","Tropical_Southwestern_Pacific","Warm_Temperate_Northeast_Pacific","Warm_Temperate_Northwest_Atlantic","Warm_Temperate_Northwest_Pacific","Warm_Temperate_Southeastern_Pacific","Warm_Temperate_Southwestern_Atlantic","West_African_Transition","West_and_South_Indian_Shelf","West_Central_Australian_Shelf","Western_Coral_Triangle","Western_Indian_Ocean"
"Diaphus_effulgens",33,18,34,0,6,41,0,83,0,0,21,44,0,24,0,118,0,104,2,65,32,33,128,3,0,183,1,29,12,3,34,25,28,10,0,66,69,44,40,0,40,41,38,0,2,4,32,12,205,239,111,178,0,13,43,74,27,50,54,16,209,286
"Diaphus_ehrhorni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,2,0,0,0,0,0,74,0,0,0,0,0,0,0,44,0,0,42,2,0,0,0,0,0,0,0,15,0,0,0,163,0,18,0,0,0,0,0,0,0,0,215,0
"Diaphus_faustinoi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,2,0,0,0,0,0,60,0,0,0,0,0,0,0,8,0,0,31,0,0,0,0,0,0,0,0,8,0,0,0,162,0,18,0,0,0,0,0,0,0,0,207,0
"Diaphus_fragilis",24,0,63,0,8,11,0,83,199,0,2,3,0,26,0,157,0,112,113,69,0,33,41,0,0,198,0,37,20,0,32,35,32,41,0,66,82,44,2,59,0,4,38,0,0,15,0,0,163,239,74,226,0,7,54,27,27,53,65,18,246,291
"Diaphus_fulgens",0,0,31,0,0,0,0,66,199,0,0,0,0,0,0,155,0,0,0,63,0,0,0,0,0,125,0,0,8,0,0,23,0,14,0,5,0,0,0,12,0,0,0,0,0,1,0,0,0,99,0,112,0,0,0,0,0,0,20,0,153,185
"Diaphus_garmani",34,0,61,0,8,27,0,83,204,0,8,11,0,26,29,157,0,112,118,69,1,33,97,0,34,198,0,35,16,0,49,34,30,27,0,66,79,44,6,253,2,15,38,0,0,13,2,73,163,239,83,226,43,7,49,32,28,53,61,17,246,290
"Diaphus_gigas",0,0,0,1,0,0,0,0,0,38,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"Diaphus_handi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,1,0,0,0,0,0,54,0,0,0,0,0,0,0,6,0,0,30,0,0,0,0,0,0,0,0,6,0,0,0,161,0,18,0,0,0,0,0,0,0,0,206,0
"Diaphus_holti",35,15,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,135,0,0,0,116,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,31,0,0,0,16,0,0,0,0,0,0,0,0,0,0,48,0,0,0,43
"Diaphus_hudsoni",25,18,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,19,11,0,24,0,0,0,0,0,0,41,0,0,0,0,0,0,0,53,0,76,48,0,7,20,0,44,0,0,0,0,0,0,0,0,18,15,0,0,5,0,0
"Diaphus_impostor",0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,157,0,0,6,0,0,0,0,0,0,198,0,0,24,0,0,0,0,63,0,0,33,41,0,0,0,0,0,0,0,0,0,0,0,222,0,169,0,0,5,0,0,0,0,0,171,0
"Diaphus_jenseni",31,18,71,0,36,34,0,83,204,51,0,14,0,23,29,157,37,16,118,66,39,33,0,30,34,198,0,0,8,0,55,25,22,8,0,56,67,44,41,253,68,38,35,42,38,7,46,165,0,239,0,226,50,0,34,77,0,0,43,14,232,278
"Diaphus_kapalae",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,8,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
