	"Standard 
length (mm)"	"Body 
depth 
(mm)"	"Body 
width
 (mm)"	"Dorsal fin 
spine
 length (mm)"	"Anal fin 
spine 
length 
(mm)"	"Right pectoral
 fin spine length (mm)"	"Left pectoral 
fin spine length (mm)"
Eurypharyngidae	541.000	16.900	11.667	0.000	0.000	0.000	0.000
Evermannellidae	99.000	14.600	6.800	0.000	0.000	0.000	0.000
Exocoetidae	138.600	28.000	20.200	13.900	10.200	0.000	0.000
Fistulariidae	383.670	10.170	15.800	21.100	20.730	0.000	0.000
Fundulidae	51.950	12.480	8.320	7.550	8.070	0.000	0.000
Gadidae	131.180	27.580	17.300	27.230	15.480	0.000	0.000
Galaxiidae	163.333	30.300	21.267	0.000	0.000	0.000	0.000
Gasteropelecidae	52.067	33.333	7.433	0.000	0.000	0.000	0.000
Gasterosteidae	67.930	16.420	6.380	6.880	1.780	0.000	0.000
Gempylidae	537.000	72.800	48.800	40.500	39.750	0.000	0.000
Gerreidae	92.180	36.120	13.230	15.070	8.470	0.000	0.000
Giganturidae	107.000	14.800	8.600	0.000	0.000	0.000	0.000
Gnathanacanthidae	132.100	51.400	31.300	33.000	27.000	0.000	0.000
Gobiesocidae	46.000	6.570	10.930	6.780	4.400	0.000	0.000
Gobiidae	112.500	21.870	24.200	10.100	5.770	0.000	0.000
Gonorynchidae	189.667	24.067	21.467	0.000	0.000	0.000	0.000
Gonostomatidae	234.000	35.233	16.800	0.000	0.000	0.000	0.000
Goodeidae	35.530	11.700	6.770	5.170	5.380	0.000	0.000
Grammicolepididae	93.230	62.830	10.270	10.300	6.330	0.000	0.000
Gymnarchidae	407.000	47.933	27.500	0.000	0.000	0.000	0.000
Gymnotidae	262.667	29.667	19.400	0.000	0.000	0.000	0.000
Gyrinocheilidae	182.000	36.500	32.567	0.000	0.000	0.000	0.000
Haemulidae	154.080	54.750	25.720	20.100	21.970	0.000	0.000
Halosauridae	577.000	42.867	29.800	0.000	0.000	0.000	0.000
Harpagiferidae	71.270	14.770	15.000	5.600	6.170	0.000	0.000
Helostomatidae	88.270	38.170	14.830	11.800	11.120	0.000	0.000
Hemiodontidae	173.667	45.133	23.400	0.000	0.000	0.000	0.000
Hemiramphidae	85.200	9.600	5.500	4.200	3.150	0.000	0.000
Hemitripteridae	141.330	32.230	59.000	21.070	13.900	0.000	0.000
Hepsetidae	156.667	31.900	17.167	0.000	0.000	0.000	0.000
Heptapteridae	197.667	43.200	42.467	17.733	0.000	21.767	21.500
Heteropneustidae	191.333	29.800	26.267	0.000	0.000	18.767	18.297
Hexagrammidae	127.930	20.770	14.400	11.080	10.200	0.000	0.000
Hiodontidae	178.000	53.300	17.200	0.000	0.000	0.000	0.000
Holocentridae	107.580	37.570	21.170	15.900	24.550	0.000	0.000
Hoplichthyidae	164.000	16.330	45.030	13.900	13.800	0.000	0.000
Hypopomidae	204.667	24.233	12.100	0.000	0.000	0.000	0.000
Hypoptychidae	60.750	4.550	2.980	5.700	5.750	0.000	0.000
Icosteidae	249.000	109.900	19.400	19.700	36.500	0.000	0.000
Ictaluridae	289.667	59.400	59.633	26.800	0.000	25.267	27.433
Inermiidae	84.750	15.280	10.850	9.500	7.080	0.000	0.000
Ipnopidae	252.667	33.933	28.167	0.000	0.000	0.000	0.000
Istiophoridae	166.000	21.750	14.550	33.050	11.800	0.000	0.000
Kuhliidae	161.470	60.870	30.970	20.070	17.000	0.000	0.000
Kyphosidae	119.170	52.200	20.870	13.830	11.470	0.000	0.000
Labridae	90.980	20.620	10.600	9.230	6.780	0.000	0.000
Labrisomidae	90.000	27.100	17.000	21.400	23.500	0.000	0.000
Lacantuniidae	292.000	54.100	72.700	0.000	0.000	21.100	23.300
Latidae	148.430	48.100	20.030	33.900	13.470	0.000	0.000
Latridae	139.200	52.050	12.050	12.750	12.900	0.000	0.000
Lebiasinidae	73.467	16.000	10.367	0.000	0.000	0.000	0.000
Leiognathidae	79.500	37.530	11.800	15.430	14.100	0.000	0.000
Lepidogalaxiidae	30.450	4.550	3.400	0.000	0.000	0.000	0.000
Leptobramidae	224.000	67.900	24.500	37.300	33.900	0.000	0.000
Lethrinidae	120.050	57.650	18.250	15.750	15.650	0.000	0.000
Liparidae	90.130	17.580	15.450	9.280	7.370	0.000	0.000
Lobotidae	181.530	85.870	30.970	27.330	32.570	0.000	0.000
Lophiidae	136.530	23.120	85.080	30.670	13.830	0.000	0.000
Loricariidae	173.333	42.800	54.733	54.567	0.000	59.633	59.933
Lotidae	104.270	16.230	13.470	6.770	6.330	0.000	0.000
Lutjanidae	72.750	29.150	10.550	9.550	11.880	0.000	0.000
Luvaridae	219.000	88.200	33.400	30.000	25.200	0.000	0.000
Macrouridae	203.670	29.520	20.620	46.330	11.100	0.000	0.000
Malacanthidae	202.000	52.900	28.700	16.200	7.700	0.000	0.000
Malapteruridae	177.667	33.800	44.333	0.000	0.000	0.000	0.000
Mastacembelidae	141.250	15.550	9.900	1.450	1.350	0.000	0.000
Megalopidae	195.000	62.800	24.433	0.000	0.000	0.000	0.000
Melamphaidae	78.450	21.100	13.600	7.450	6.900	0.000	0.000
