Genus name,Species name,Group,Age (in Mya),Envronement (terrestrial/aquatic),Site,Source (theirs),Source (mine if additional,Body length (m),Body mass (kg),"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head projections,Head surface,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes
Hemicyclaspis,murchisoni,Agnatha,Lochkovian,,,Obruchev 1967,,21,,,,,,,,,,,,,,,
Althaspis,elongata,Agnatha,Pragian,,,Voichyshyn 2011,,22,,,,,,,,,,,,,,,
Turinia,pagei,Agnatha,Lochkovian,,,Frickhinger 1991,,32,,,,,,,,,,,,,,,
Escuminaspis,laticeps,Agnatha,Frasnian,,,Janvier et al. 2004,,38,,,,,,,,,,,,,,,
Drepanaspis,gemuendenensis,Agnatha,Pragian-Emsian,,,Obruchev 1967,,60,,,,,,,,,,,,,,,
Trewinia,magnifica,Agnatha,Eifelian-Frasnian,,,Moy-Thomas & Miles 1971,,60,,,,,,,,,,,,,,,
Alaspis,rosamundae,Agnatha,Frasnian,,,Janvier & Arsenault 1996,,180,,,,,,,,,,,,,,,
Tartuosteus,sp.,Agnatha,Eifelian-Givetian,,,Elliott et al. 2004,,200,,,,,,,,,,,,,,,
Pycnosteus,sp.,Agnatha,Eifelian-Givetian,,,Elliott et al. 2004,,200,,,,,,,,,,,,,,,
Netsepoye,hawesi,Chondrichthyes,Serpukhovian,Bear Gulch,,Lund 1989,,5.5,,,,,,,,,,,,,,,
Eucentrurus,paradoxus,Chondrichthyes,Visean,,,Stahl 1999,,6,,,,,,,,,,,,,,,
Heteropetalus,elegantulus,Chondrichthyes,Serpukhovian,Bear Gulch,,Zangerl 1981,,7,,,,,,,,,,,,,,,
unknown,sp. 2,Chondrichthyes,Serpukhovian,,,Lund & Grogan 2005,,10,,,,,,,,,,,,,,,
unknown,sp. 3,Chondrichthyes,Serpukhovian,,,Lund & Grogan 2005,,10,,,,,,,,,,,,,,,
Papillioninchthys,stahlae,Chondrichthyes,Serpukhovian,,,Grogan & Lund 2009,,10.31,,,,,,,,,,,,,,,
Gladbachus,adentadus,Chondrichthyes,Frasnian,,,Ginter 2004,,11,,,,,,,,,,,,,,,
Gregorius,rexi,Chondrichthyes,Serpukhovian,,,Lund & Grogan 2005,,12,,,,,,,,,,,,,,,
Erismacanthus,sp.,Chondrichthyes,Serpukhovian,,,Stahl 1999,,12,,,,,,,,,,,,,,,
unknown,sp. 1,Chondrichthyes,Serpukhovian,,,Frickhinger 1991,,12,,,,,,,,,,,,,,,
