Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (m),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Szelepis_yunnanensis,Placodermi,Lochkovian-Pragian,,,,,30,,Liu 1979,?,1,1,0,Head shield,?,?,?,?,,?,?,?,Arthrodire similar to Actinolepis,,
Phymolepis_cuifengshanensis,Placodermi,Lochkovian,,,,,8,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Phymolepis_guoruii,Placodermi,Lochkovian,,,,,22,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Chuchinolepis_qujingensis,Placodermi,Lochkovian,,,,,10,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Chuchinolepis_sulcata,Placodermi,Lochkovian,,,,,17,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Chuchinolepis_robusta,Placodermi,Lochkovian,,,,,7,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Gavinaspis_convergens,Placodermi,Lochkovian,,,,,38,,Zhao & Zhu 2010,?,1,1,0,Head shield,?,?,?,?,,?,?,?,"Arthrodire placoderm, probably phyllolepids",,
Eskimaspis_heintzi,Placodermi,Lochkovian,,,,,23,,Dineley & Liu 1984,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,,?,?,?,Arthrodire similar to Kujdanowiaspis,,
Baringaspis_dineleyi,Placodermi,Lochkovian,,,,,49,,Miles 1973,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,,?,?,?,Arthrodire similar to Kujdanowiaspis,,
Yunnanolepis_meemannae,Placodermi,Pragian,,,,,29,,Thanh & Janvier 1994,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Yujiangolepis_suni,Placodermi,Pragian,,,,,25,,Zhu et al. 2010,?,1,1,0,Head shield,?,?,?,?,,?,?,?,"""basal"" arthrodire placoderms, few info",,
Neopetalichthys_yenmenpaensis,Placodermi,Pragian,,,,,18,,Liu 1973,?,1,1,0,Head shield,?,?,?,?,,?,?,?,"Quasipetalichthyids, likely having pectoral fin spines",,
Yiminaspis_shenme,Placodermi,Pragian,,,,,12,,Dupret 2008,?,1,1,0,Head shield,?,?,?,?,,?,?,?,Arthrodire similar to Wuttagoonaspis,,
Mizia_longhuanensis,Placodermi,Pragian,,,,,6.5,,Zhu 1996,small stuff,1,1,0,Sturdy head shield,1,1,1,All antiarchs have heavely ossified pectoral fine that I think should count has having body spine,0,0,0,0,antiarch placoderm,,
Kujdanwiaspis_buczacziensis,Placodermi,Pragian,,,,,30,,Dupret 2010,likely carnivor,1,1,0,Head shield,1,1,1,Body armour with fin spine,?,?,?,?,Arthrodiran placoderm,,
Radontina_prima,Placodermi,Pragian,,,,,40,,Denison 1978,?,1/0,1/0,0,*Head shield although tesserate so less armoured,1,1,?,?,?,?,?,?,"""tesserated acanthothoracid""",,
Radontina_tessellata,Placodermi,Pragian,,,,,28,,Denison 1978,?,1/0,1/0,0,*Head  shield although tesserate so less armoured,1,1,?,?,?,?,?,?,"""tesserated acanthothoracid""",,
